,dt,LandAverageTemperature,LandAndOceanAverageTemperature
2760,1980-01-01,2.9560000000000004,13.812
2761,1980-02-01,3.652,14.112
2762,1980-03-01,5.367000000000001,14.646
2763,1980-04-01,8.934999999999997,15.578
2764,1980-05-01,11.77,16.314
2765,1980-06-01,13.582,16.805999999999997
2766,1980-07-01,14.742,17.171
2767,1980-08-01,14.189,17.049
2768,1980-09-01,12.321,16.427
2769,1980-10-01,9.55,15.45
2770,1980-11-01,6.684,14.645
2771,1980-12-01,4.016,13.892
2772,1981-01-01,3.785,13.963
2773,1981-02-01,4.021,14.073
2774,1981-03-01,6.239,14.769
2775,1981-04-01,8.953,15.432
2776,1981-05-01,11.565,16.198
2777,1981-06-01,13.765,16.932000000000002
2778,1981-07-01,14.738,17.217
2779,1981-08-01,14.502,17.123
2780,1981-09-01,12.236,16.465999999999998
2781,1981-10-01,9.394,15.453
2782,1981-11-01,6.273,14.47
2783,1981-12-01,4.519,14.098
2784,1982-01-01,2.5580000000000003,13.587
2785,1982-02-01,3.281,13.852
2786,1982-03-01,4.873,14.337
2787,1982-04-01,8.465,15.33
2788,1982-05-01,11.348,16.144000000000002
2789,1982-06-01,13.245,16.625
2790,1982-07-01,14.545,17.0
2791,1982-08-01,13.796,16.867
2792,1982-09-01,12.039,16.354
2793,1982-10-01,9.232,15.493
2794,1982-11-01,5.961,14.446
2795,1982-12-01,4.327,14.068
2796,1983-01-01,3.4450000000000003,13.979
2797,1983-02-01,3.814,14.169
2798,1983-03-01,5.699,14.683
2799,1983-04-01,8.693,15.468
2800,1983-05-01,11.729,16.34
2801,1983-06-01,13.478,16.785999999999998
2802,1983-07-01,14.408,17.067999999999998
2803,1983-08-01,14.302,17.145
2804,1983-09-01,12.698,16.573
2805,1983-10-01,9.478,15.498
2806,1983-11-01,6.7650000000000015,14.648
2807,1983-12-01,3.829,13.886
2808,1984-01-01,2.9410000000000003,13.701
2809,1984-02-01,3.093,13.878
2810,1984-03-01,5.671,14.608
2811,1984-04-01,8.431999999999999,15.37
2812,1984-05-01,11.976,16.294999999999998
2813,1984-06-01,13.387,16.668000000000006
2814,1984-07-01,14.429,16.961000000000002
2815,1984-08-01,13.984000000000002,16.972
2816,1984-09-01,12.015,16.385
2817,1984-10-01,9.378,15.368
2818,1984-11-01,5.811,14.32
2819,1984-12-01,3.185,13.604
2820,1985-01-01,3.01,13.678
2821,1985-02-01,2.704,13.731
2822,1985-03-01,5.4510000000000005,14.526
2823,1985-04-01,8.633,15.356
2824,1985-05-01,11.425999999999998,16.136
2825,1985-06-01,13.569,16.713
2826,1985-07-01,13.973,16.906
2827,1985-08-01,14.059,17.012999999999998
2828,1985-09-01,11.98,16.357
2829,1985-10-01,9.338,15.476
2830,1985-11-01,5.968,14.388
2831,1985-12-01,3.785,13.808
2832,1986-01-01,3.315,13.724
2833,1986-02-01,3.991,14.084
2834,1986-03-01,5.755,14.608
2835,1986-04-01,8.870999999999997,15.452
2836,1986-05-01,11.581,16.163
2837,1986-06-01,13.439,16.695999999999998
2838,1986-07-01,14.293,16.991
2839,1986-08-01,13.972,16.938
2840,1986-09-01,11.816999999999998,16.285
2841,1986-10-01,9.299,15.455
2842,1986-11-01,5.9190000000000005,14.407
2843,1986-12-01,3.751,13.805
2844,1987-01-01,3.139,13.758
2845,1987-02-01,4.1339999999999995,14.161
2846,1987-03-01,5.245,14.538
2847,1987-04-01,8.594999999999999,15.447
2848,1987-05-01,11.525,16.252
2849,1987-06-01,13.927,16.900000000000002
2850,1987-07-01,14.89,17.296
2851,1987-08-01,13.896,17.061
2852,1987-09-01,12.447,16.569000000000003
2853,1987-10-01,9.59,15.621
2854,1987-11-01,6.056,14.561
2855,1987-12-01,4.489,14.13
2856,1988-01-01,3.4539999999999997,13.978
2857,1988-02-01,3.4219999999999997,14.064
2858,1988-03-01,5.931,14.778
2859,1988-04-01,8.991999999999997,15.593
2860,1988-05-01,11.852,16.348
2861,1988-06-01,14.099,16.976000000000006
2862,1988-07-01,14.798,17.179000000000002
2863,1988-08-01,14.553,17.173000000000002
2864,1988-09-01,12.681,16.553
2865,1988-10-01,9.979,15.639
2866,1988-11-01,6.295,14.465
2867,1988-12-01,4.363,13.923
2868,1989-01-01,2.71,13.566
2869,1989-02-01,3.627,13.978000000000002
2870,1989-03-01,5.792000000000001,14.607
2871,1989-04-01,8.689,15.422
2872,1989-05-01,11.28,16.121
2873,1989-06-01,13.447,16.725
2874,1989-07-01,14.612,17.150000000000002
2875,1989-08-01,14.135,17.051000000000002
2876,1989-09-01,12.403,16.5
2877,1989-10-01,9.76,15.597
2878,1989-11-01,6.178999999999999,14.524
2879,1989-12-01,4.43,14.058
2880,1990-01-01,3.2430000000000003,13.890999999999998
2881,1990-02-01,3.643,14.143
2882,1990-03-01,6.73,15.005
2883,1990-04-01,9.169,15.683
2884,1990-05-01,11.831,16.397000000000002
2885,1990-06-01,13.893,16.995
2886,1990-07-01,14.784,17.246000000000002
2887,1990-08-01,14.095,17.11
2888,1990-09-01,12.195,16.465
2889,1990-10-01,9.882,15.747
2890,1990-11-01,6.92,14.77
2891,1990-12-01,4.425,14.1
2892,1991-01-01,3.1950000000000003,13.859000000000002
2893,1991-02-01,4.0440000000000005,14.201
2894,1991-03-01,5.574,14.689
2895,1991-04-01,9.226,15.716
2896,1991-05-01,11.616,16.37
2897,1991-06-01,14.263,17.052
2898,1991-07-01,14.987,17.348
2899,1991-08-01,14.319,17.163
2900,1991-09-01,12.677,16.572
2901,1991-10-01,9.753,15.619000000000002
2902,1991-11-01,6.44,14.607
2903,1991-12-01,4.059,13.98
2904,1992-01-01,3.5789999999999997,13.961
2905,1992-02-01,3.931,14.181
2906,1992-03-01,5.952000000000001,14.771
2907,1992-04-01,8.572000000000001,15.51
2908,1992-05-01,11.534999999999998,16.319000000000003
2909,1992-06-01,13.576,16.886000000000006
